# T [MeV]          muB [MeV]        muQ [MeV]
      5.00000000e-02      1.53216759e+03     -3.04021150e+02
      5.00000000e-02      1.51476591e+03     -3.27967302e+02
      5.00000000e-02      1.49124054e+03     -3.53799566e+02
      5.00000000e-02      1.43115766e+03     -3.81666503e+02
      5.00000000e-02      1.37349555e+03     -4.11728372e+02
      5.00000000e-02      1.31815668e+03     -4.44158057e+02
      5.00000000e-02      1.26504744e+03     -4.79142058e+02
      5.00000000e-02      1.21407800e+03     -5.16881565e+02
      5.00000000e-02      1.16516214e+03     -5.57593615e+02
      5.00000000e-02      1.16516214e+03     -6.01512340e+02
      5.00000000e-02      1.16516214e+03     -6.48890313e+02
      5.00000000e-02      1.16516214e+03     -7.00000000e+02
      4.36956522e-01      1.63867450e+03     -1.00000000e-07
      4.36956522e-01      1.63867450e+03     -1.07876476e-07
      4.36956522e-01      1.63867450e+03     -1.16373340e-07
      4.36956522e-01      1.63867450e+03     -1.25539458e-07
      4.36956522e-01      1.63867450e+03     -1.35427542e-07
      4.36956522e-01      1.63867450e+03     -1.46094460e-07
      4.36956522e-01      1.63867450e+03     -1.57601554e-07
      4.36956522e-01      1.63867450e+03     -1.70015002e-07
      4.36956522e-01      1.63867450e+03     -1.83406192e-07
      4.36956522e-01      1.63867450e+03     -1.97852136e-07
      4.36956522e-01      1.63867450e+03     -2.13435911e-07
      4.36956522e-01      1.63867450e+03     -2.30247139e-07
      4.36956522e-01      1.63867450e+03     -2.48382499e-07
      4.36956522e-01      1.63867450e+03     -2.67946286e-07
      4.36956522e-01      1.63867450e+03     -2.89051009e-07
      4.36956522e-01      1.63867450e+03     -3.11818042e-07
      4.36956522e-01      1.63867450e+03     -3.36378313e-07
      4.36956522e-01      1.63867450e+03     -3.62873069e-07
      4.36956522e-01      1.63867450e+03     -3.91454678e-07
      4.36956522e-01      1.63867450e+03     -4.22287510e-07
      4.36956522e-01      1.63867450e+03     -4.55548883e-07
      4.36956522e-01      1.63867450e+03     -4.91430079e-07
      4.36956522e-01      1.63867450e+03     -5.30137450e-07
      4.36956522e-01      1.63867450e+03     -5.71893597e-07
      4.36956522e-01      1.63867450e+03     -6.16938656e-07
      4.36956522e-01      1.63867450e+03     -6.65531679e-07
      4.36956522e-01      1.63867450e+03     -7.17952119e-07
      4.36956522e-01      1.63867450e+03     -7.74501443e-07
      4.36956522e-01      1.63867450e+03     -8.35504860e-07
      4.36956522e-01      1.63867450e+03     -9.01313196e-07
      4.36956522e-01      1.63867450e+03     -9.72304910e-07
      4.36956522e-01      1.63867450e+03     -1.04888827e-06
      4.36956522e-01      1.63867450e+03     -1.13150370e-06
      4.36956522e-01      1.63867450e+03     -1.22062631e-06
      4.36956522e-01      1.63867450e+03     -1.31676864e-06
      4.36956522e-01      1.63867450e+03     -1.42048360e-06
      4.36956522e-01      1.63867450e+03     -1.53236765e-06
      4.36956522e-01      1.63867450e+03     -1.65306421e-06
      4.36956522e-01      1.63867450e+03     -1.78326741e-06
      4.36956522e-01      1.63867450e+03     -1.92372604e-06
      4.36956522e-01      1.63867450e+03     -2.07524785e-06
      4.36956522e-01      1.63867450e+03     -2.23870424e-06
      4.36956522e-01      1.63867450e+03     -2.41503523e-06
      4.36956522e-01      1.63867450e+03     -2.60525489e-06
      4.36956522e-01      1.63867450e+03     -2.81045716e-06
      4.36956522e-01      1.63867450e+03     -3.03182213e-06
      4.36956522e-01      1.63867450e+03     -3.27062286e-06
      4.36956522e-01      1.63867450e+03     -3.52823267e-06
      4.36956522e-01      1.63867450e+03     -3.80613305e-06
