# T  muB  muS  muQ  dnB
  8.000000e+01   8.765000e+02   0.000000e+00  -1.870000e+02   5.469594e-01
  8.000000e+01   8.765000e+02   0.000000e+00  -1.860000e+02   5.443670e-01
  8.000000e+01   8.765000e+02   0.000000e+00  -1.850000e+02   5.385626e-01
  8.000000e+01   8.765000e+02   0.000000e+00  -1.840000e+02   5.028935e-01
  8.000000e+01   8.775000e+02   0.000000e+00  -1.830000e+02   5.516377e-01
  8.000000e+01   8.775000e+02   0.000000e+00  -1.820000e+02   5.491391e-01
  8.000000e+01   8.775000e+02   0.000000e+00  -1.810000e+02   5.466412e-01
  8.000000e+01   8.775000e+02   0.000000e+00  -1.800000e+02   5.058017e-01
  8.000000e+01   8.785000e+02   0.000000e+00  -1.790000e+02   5.568760e-01
  8.000000e+01   8.785000e+02   0.000000e+00  -1.780000e+02   5.544307e-01
  8.000000e+01   8.785000e+02   0.000000e+00  -1.770000e+02   5.520084e-01
  8.000000e+01   8.785000e+02   0.000000e+00  -1.760000e+02   5.181085e-01
  8.000000e+01   8.795000e+02   0.000000e+00  -1.750000e+02   5.627164e-01
  8.000000e+01   8.795000e+02   0.000000e+00  -1.740000e+02   5.603757e-01
  8.000000e+01   8.795000e+02   0.000000e+00  -1.730000e+02   5.580592e-01
  8.000000e+01   8.795000e+02   0.000000e+00  -1.720000e+02   5.521250e-01
  8.000000e+01   8.805000e+02   0.000000e+00  -1.710000e+02   5.692585e-01
  8.000000e+01   8.805000e+02   0.000000e+00  -1.700000e+02   5.670273e-01
  8.000000e+01   8.805000e+02   0.000000e+00  -1.690000e+02   5.648213e-01
  8.000000e+01   8.805000e+02   0.000000e+00  -1.680000e+02   5.626408e-01
  8.000000e+01   8.805000e+02   0.000000e+00  -1.670000e+02   5.313245e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -1.660000e+02   5.744136e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -1.650000e+02   5.723230e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -1.640000e+02   5.702590e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -1.630000e+02   5.681994e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -1.620000e+02   5.825310e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -1.610000e+02   5.805290e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -1.600000e+02   5.785551e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -1.590000e+02   5.766095e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -1.580000e+02   5.746924e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -1.570000e+02   5.728042e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.560000e+02   5.876505e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.550000e+02   5.858344e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.540000e+02   5.840479e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.530000e+02   5.822912e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.520000e+02   5.805647e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.510000e+02   5.788685e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.500000e+02   5.942524e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.490000e+02   5.926322e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.480000e+02   5.910433e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.470000e+02   5.894550e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.460000e+02   5.878533e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.450000e+02   5.862836e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.440000e+02   5.847461e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -1.430000e+02   6.007164e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -1.420000e+02   5.992595e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -1.410000e+02   5.978356e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -1.400000e+02   5.964449e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -1.390000e+02   5.950876e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -1.380000e+02   5.937641e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -1.370000e+02   5.924744e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.360000e+02   6.090814e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.350000e+02   6.078766e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.340000e+02   6.067065e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.330000e+02   6.055713e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.320000e+02   6.044712e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.310000e+02   6.032616e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.300000e+02   6.020619e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.290000e+02   6.008971e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -1.280000e+02   5.997676e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.270000e+02   6.170969e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.260000e+02   6.160557e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.250000e+02   6.150504e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.240000e+02   6.140812e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.230000e+02   6.131484e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.220000e+02   6.122521e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.210000e+02   6.113926e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.200000e+02   6.105699e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.190000e+02   6.097845e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.180000e+02   6.090363e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -1.170000e+02   6.083256e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.160000e+02   6.265679e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.150000e+02   6.259510e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.140000e+02   6.253722e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.130000e+02   6.248065e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.120000e+02   6.242243e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.110000e+02   6.236806e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.100000e+02   6.231757e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.090000e+02   6.227097e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.080000e+02   6.222827e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.070000e+02   6.218950e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.060000e+02   6.215466e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.050000e+02   6.212377e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.040000e+02   6.209685e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.030000e+02   6.207392e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.020000e+02   6.205497e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.010000e+02   6.204004e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -1.000000e+02   6.202912e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -9.900000e+01   6.202224e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.800000e+01   6.398246e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.700000e+01   6.398565e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.600000e+01   6.399290e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.500000e+01   6.400425e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.400000e+01   6.401968e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.300000e+01   6.403923e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.200000e+01   6.407209e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.100000e+01   6.411889e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -9.000000e+01   6.416989e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.900000e+01   6.422511e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.800000e+01   6.428455e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.700000e+01   6.434820e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.600000e+01   6.441608e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.500000e+01   6.448818e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.400000e+01   6.456451e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.300000e+01   6.464507e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.200000e+01   6.472985e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.100000e+01   6.481885e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -8.000000e+01   6.491208e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.900000e+01   6.500953e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.800000e+01   6.516382e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.700000e+01   6.535461e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.600000e+01   6.555144e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.500000e+01   6.575436e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.400000e+01   6.596339e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.300000e+01   6.620772e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.200000e+01   6.647973e-01
  8.000000e+01   8.895000e+02   0.000000e+00  -7.100000e+01   6.676289e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -7.000000e+01   6.504307e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.900000e+01   6.525128e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.800000e+01   6.546712e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.700000e+01   6.568433e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.600000e+01   6.586937e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.500000e+01   6.606012e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.400000e+01   6.625660e-01
